City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Altagracia de Orituco,VE,87.51,clear sky,9.8601,-66.3814,Posada Quinta Mi Refugio
496,Acapulco de Juárez,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
498,Grand Baie,MU,81.07,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
501,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
503,Ternate,ID,79.97,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
505,Lamu,KE,80.82,clear sky,-2.2717,40.902,Lamu House
506,Suriāpet,IN,73.76,overcast clouds,17.15,79.6167,MNR Lodge and Restaurant
519,Kirakira,SB,81.25,broken clouds,-10.4544,161.9205,SanBiz Lodge
521,Uruçuí,BR,80.17,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
523,Três Lagoas,BR,87.75,broken clouds,-20.7511,-51.6783,Druds Express Hotel
524,Seddon,AU,72.21,clear sky,-37.8068,144.8916,Footscray Motor Inn
525,Gibara,CU,87.12,clear sky,21.1097,-76.1317,Sol y Mar
531,Majene,ID,76.66,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
536,Meulaboh,ID,75.51,overcast clouds,4.1363,96.1285,Kost Pria
537,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
541,Nova Viçosa,BR,80.65,broken clouds,-17.8919,-39.3719,Pousada Porto do Sol
543,Wahiawā,US,75.52,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
549,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
553,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
558,Bacolod City,PH,76.55,broken clouds,10.6667,122.95,Planta Hotel & Residences
560,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
563,Kunnamangalam,IN,75.83,clear sky,11.3046,75.8777,HOTEL MONAD
570,Cockburn Town,TC,78.28,clear sky,21.4612,-71.1419,Osprey Beach Hotel
571,Samarinda,ID,72.84,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
572,Dubti,ET,80.04,scattered clouds,11.7361,41.0853,degu Shiferaw
573,San Felipe,VE,82.92,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
574,Cabinda,AO,77.05,clear sky,-5.55,12.2,Hotel Maiombe
583,Indramayu,ID,79.77,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
588,Niamey,NE,75.49,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
590,Camopi,GF,78.64,broken clouds,3.1655,-52.3158,La pousada
591,Saint-Leu,RE,79.66,few clouds,-21.15,55.2833,La Caz Oceane
593,Iracoubo,GF,78.37,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
595,Isla Vista,US,76.78,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
597,Mindelo,CV,72.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
605,Banda Aceh,ID,76.6,overcast clouds,5.5577,95.3222,Sulthan Hotel International
606,Gawler,AU,75.47,light rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
608,Plettenberg Bay,ZA,77.43,clear sky,-34.0527,23.3716,Thanda Vista B&B
609,Roebourne,AU,82.56,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
615,Mitsamiouli,KM,80.64,moderate rain,-11.3847,43.2844,Foyer ADM
620,Duekoué,CI,75.33,clear sky,6.7472,-7.3496,L'Etoile
622,Langsa,ID,73.29,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
626,Wau,SS,78.01,scattered clouds,7.7029,27.9953,Universal Gab Hotel
627,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
630,Marsh Harbour,BS,71.8,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
631,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
637,Manokwari,ID,78.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
638,Alugan,PH,77.68,heavy intensity rain,12.2188,125.4808,JM Lodge
644,Benguela,AO,76.86,broken clouds,-12.5763,13.4055,Hotel Praia Morena
645,Mayumba,GA,76.77,scattered clouds,-3.432,10.6554,LIKWALE LODGE
651,Aquiraz,BR,84.29,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
653,Biak,ID,76.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
654,Labuhan,ID,77.41,broken clouds,-6.8844,112.2051,DoubleFAG
656,São José do Belmonte,BR,88.77,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
657,Goiatuba,BR,81.01,broken clouds,-18.0125,-49.3547,Hotel Barrocos
661,Mana,GF,78.42,scattered clouds,5.6592,-53.7767,LE SAMANA
663,Ovalle,CL,85.64,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
667,Ambilobe,MG,74.19,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
676,Payo,ID,72.48,overcast clouds,-3.7508,103.6372,Mess keban agung
684,Nishihara,JP,70.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
690,Nísia Floresta,BR,85.01,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
691,Barroso,BR,80.78,few clouds,-21.1869,-43.9758,R2 Suítes
693,Yanam,IN,70.18,few clouds,16.7333,82.2167,The Regency Hotel
694,Barranca,PE,74.48,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
695,Uchiza,PE,81.34,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
696,Jacmel,HT,84.04,clear sky,18.2342,-72.5347,Historic Hotel Florita
697,Suleja,NG,81.19,clear sky,9.1758,7.1808,Capy Motel
701,Acaraú,BR,81.36,scattered clouds,-2.8856,-40.12,castelo pizzaria
702,Gboko,NG,81.5,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
705,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
